CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12831,262,1,215.05,3,Low Value Customers
12832,32,2,383.03,1,New Customers
12833,145,1,417.38,3,Low Value Customers
12834,283,1,312.38,3,Low Value Customers
12836,59,4,2610.36,0,Potential Churn
12837,173,1,134.1,3,Low Value Customers
12838,34,2,671.95,1,New Customers
12840,144,4,2726.77,0,Potential Churn
12842,70,2,1118.99,0,Potential Churn
12843,66,8,1702.26,2,VIP Customers
12844,29,2,325.96000000000004,1,New Customers
12845,267,4,354.09,0,Potential Churn
12847,22,1,843.64,1,New Customers
12849,31,2,992.65,0,Potential Churn
12851,97,1,131.81,3,Low Value Customers
12852,295,1,311.55,3,Low Value Customers
12853,135,6,1957.1000000000001,0,Potential Churn
12854,79,3,1316.25,0,Potential Churn
12855,373,1,38.1,3,Low Value Customers
12856,8,6,2170.78,2,VIP Customers
12857,211,2,1106.4,0,Potential Churn
12863,52,1,521.2,1,New Customers
12864,138,1,147.12,3,Low Value Customers
12865,26,2,1568.23,0,Potential Churn
12866,283,1,499.12,3,Low Value Customers
12867,26,7,4009.34,2,VIP Customers
12868,186,6,1607.0600000000002,0,Potential Churn
12871,84,2,380.64,3,Low Value Customers
12872,327,2,599.97,3,Low Value Customers
12873,282,1,374.0,3,Low Value Customers
12875,143,2,343.2300000000001,3,Low Value Customers
12876,58,2,2053.02,0,Potential Churn
12877,4,12,1535.77,2,VIP Customers
12878,236,2,854.99,0,Potential Churn
12879,45,3,573.22,0,Potential Churn
12881,276,1,298.0,3,Low Value Customers
12882,9,2,1463.04,1,New Customers
12883,25,4,703.47,0,Potential Churn
12884,88,1,309.05,3,Low Value Customers
12885,63,3,1175.22,0,Potential Churn
12886,68,2,1378.4,0,Potential Churn
12888,214,2,354.12,3,Low Value Customers
12890,24,1,376.71999999999997,1,New Customers
12891,186,3,331.0,0,Potential Churn
12893,31,1,176.55,1,New Customers
12895,42,2,372.8,1,New Customers
12897,205,2,216.5,3,Low Value Customers
12902,265,1,138.68,3,Low Value Customers
12904,18,2,496.06,1,New Customers
12906,12,5,2919.81,2,VIP Customers
12908,176,2,750.0,0,Potential Churn
12909,40,5,2178.67,2,VIP Customers
12910,23,8,3075.04,2,VIP Customers
12912,3,5,1662.3,2,VIP Customers
12913,5,5,2483.63,2,VIP Customers
12915,149,2,363.65,3,Low Value Customers
12916,139,4,2944.95,0,Potential Churn
12917,128,1,594.0,3,Low Value Customers
12919,8,6,1335.19,2,VIP Customers
12920,17,1,162.78,1,New Customers
12922,161,1,405.38,3,Low Value Customers
12923,64,1,171.57,3,Low Value Customers
12924,88,4,925.75,0,Potential Churn
12925,5,2,694.05,1,New Customers
12928,35,5,2062.7000000000003,2,VIP Customers
12929,312,1,117.85,3,Low Value Customers
12930,78,2,415.8,0,Potential Churn
12933,24,3,607.53,1,New Customers
12935,2,7,2160.7,2,VIP Customers
12936,17,4,1063.9,2,VIP Customers
12937,15,4,1504.27,2,VIP Customers
12938,26,1,114.14,1,New Customers
12940,55,2,899.69,0,Potential Churn
12942,131,3,675.6,0,Potential Churn
12944,36,2,604.51,1,New Customers
12945,288,1,462.95,3,Low Value Customers
12947,144,6,1603.99,0,Potential Churn
12948,16,7,2064.95,2,VIP Customers
12949,31,8,4167.22,2,VIP Customers
12950,2,3,1843.0,2,VIP Customers
12951,9,6,1064.07,2,VIP Customers
12952,6,4,1387.79,2,VIP Customers
12953,10,1,329.85,1,New Customers
12955,1,11,4757.16,2,VIP Customers
12956,306,1,108.07,3,Low Value Customers
12957,10,8,4017.54,2,VIP Customers
12962,7,2,266.39,1,New Customers
12963,8,8,1856.63,2,VIP Customers
12965,89,1,769.8100000000001,0,Potential Churn
12966,10,1,160.18,1,New Customers
12967,358,2,1660.9,0,Potential Churn
12968,112,1,135.95,3,Low Value Customers
12970,7,4,405.47,1,New Customers
12974,198,1,144.8,3,Low Value Customers
12976,212,1,738.6,3,Low Value Customers
12977,156,1,39.239999999999995,3,Low Value Customers
12981,30,2,372.21999999999997,1,New Customers
12982,243,1,390.54,3,Low Value Customers
12984,19,1,97.5,1,New Customers
12985,1,2,1239.38,1,New Customers
12987,74,2,558.7,0,Potential Churn
12988,292,1,505.82,3,Low Value Customers
12990,31,3,409.5,1,New Customers
12991,23,2,503.76,1,New Customers
12993,23,4,414.76,1,New Customers
12994,4,3,974.4200000000001,2,VIP Customers
12995,85,1,211.32,3,Low Value Customers
12997,22,4,1226.89,2,VIP Customers
12999,196,3,455.88,0,Potential Churn
13000,107,3,534.85,0,Potential Churn
13002,318,1,120.94999999999999,3,Low Value Customers
13003,106,3,149.05,3,Low Value Customers
13005,174,2,513.7,0,Potential Churn
13006,56,1,81.57,3,Low Value Customers
13008,323,1,229.46999999999997,3,Low Value Customers
13011,372,1,50.550000000000004,3,Low Value Customers
13012,9,8,1646.8400000000001,2,VIP Customers
13013,1,13,4810.9400000000005,2,VIP Customers
13014,11,10,3466.2799999999997,2,VIP Customers
13015,53,5,3339.64,2,VIP Customers
13016,73,3,789.89,0,Potential Churn
13017,7,1,204.0,1,New Customers
13021,4,9,2616.38,2,VIP Customers
13023,64,2,599.9,0,Potential Churn
13026,1,5,975.36,2,VIP Customers
13028,23,2,661.3199999999999,1,New Customers
13029,31,3,1247.5,0,Potential Churn
13030,11,2,752.4399999999999,1,New Customers
13032,52,2,1010.18,0,Potential Churn
13033,357,1,190.55,3,Low Value Customers
13034,55,2,642.77,0,Potential Churn
13035,74,2,921.88,0,Potential Churn
13037,138,3,881.07,0,Potential Churn
13038,80,3,908.46,0,Potential Churn
13040,9,2,676.99,1,New Customers
13043,273,1,516.42,3,Low Value Customers
13044,291,1,560.47,3,Low Value Customers
13045,99,1,305.28000000000003,3,Low Value Customers
13046,31,2,629.31,1,New Customers
13047,57,9,3232.59,2,VIP Customers
13048,14,4,1819.41,2,VIP Customers
13049,64,2,656.6800000000001,0,Potential Churn
13052,212,1,348.15000000000003,3,Low Value Customers
13055,78,3,1214.41,0,Potential Churn
13058,25,3,271.40000000000003,1,New Customers
13059,250,1,183.4,3,Low Value Customers
13060,254,1,307.53,3,Low Value Customers
13061,72,1,248.61,3,Low Value Customers
13062,191,1,346.98,3,Low Value Customers
13064,13,4,1105.59,2,VIP Customers
13065,373,1,205.86,3,Low Value Customers
13066,24,2,470.8,1,New Customers
13067,82,1,115.46000000000001,3,Low Value Customers
13068,10,2,344.0,1,New Customers
13070,192,1,228.8,3,Low Value Customers
13072,267,1,177.15,3,Low Value Customers
13075,130,1,919.61,0,Potential Churn
13077,1,4,728.02,2,VIP Customers
13079,4,5,220.10000000000002,1,New Customers
13080,179,1,58.08,3,Low Value Customers
13082,126,9,3613.63,2,VIP Customers
13083,4,2,303.75,1,New Customers
13085,158,2,416.08000000000004,3,Low Value Customers
13091,28,1,345.82,1,New Customers
13092,71,5,477.83,0,Potential Churn
13094,21,12,1927.3200000000002,2,VIP Customers
13095,71,1,74.39999999999999,3,Low Value Customers
13099,99,1,207.35999999999999,3,Low Value Customers
13101,234,1,101.19,3,Low Value Customers
13103,40,1,243.94,1,New Customers
13104,3,6,1098.48,2,VIP Customers
13106,133,1,76.5,3,Low Value Customers
13107,44,4,1531.6200000000001,0,Potential Churn
13108,373,1,350.06,3,Low Value Customers
13109,60,2,786.54,0,Potential Churn
13110,31,7,1488.67,2,VIP Customers
13115,12,4,2294.78,2,VIP Customers
13116,138,1,501.14,3,Low Value Customers
13117,22,8,984.91,2,VIP Customers
13118,20,5,1197.81,2,VIP Customers
13120,239,1,30.599999999999998,3,Low Value Customers
13121,269,1,283.73,3,Low Value Customers
13122,94,2,922.39,0,Potential Churn
13124,90,3,3756.33,0,Potential Churn
13126,5,8,2099.64,2,VIP Customers
13127,78,1,259.17,3,Low Value Customers
13130,94,1,64.0,3,Low Value Customers
13131,23,3,1073.3,0,Potential Churn
13132,262,1,77.3,3,Low Value Customers
13133,274,2,109.8,3,Low Value Customers
13134,86,4,1793.58,0,Potential Churn
13135,197,1,3096.0,0,Potential Churn
13136,56,5,2607.61,2,VIP Customers
13137,11,8,3603.29,2,VIP Customers
13138,22,6,962.39,2,VIP Customers
13139,16,7,5064.94,2,VIP Customers
13140,108,3,422.47,0,Potential Churn
13141,85,5,2388.75,0,Potential Churn
13142,19,1,307.09,1,New Customers
13144,333,1,110.95,3,Low Value Customers
13145,40,4,618.52,0,Potential Churn
13146,26,1,228.91,1,New Customers
13147,10,4,712.8000000000001,2,VIP Customers
13148,29,12,3683.26,2,VIP Customers
13149,14,4,1676.06,2,VIP Customers
13151,296,1,1257.8700000000001,0,Potential Churn
13153,6,1,486.22,1,New Customers
13155,33,4,971.76,0,Potential Churn
13157,49,4,1741.22,0,Potential Churn
13158,95,4,1201.06,0,Potential Churn
13159,9,4,1429.35,2,VIP Customers
13160,22,1,91.8,1,New Customers
13161,313,1,112.75,3,Low Value Customers
13162,122,4,1688.29,0,Potential Churn
13165,46,2,1021.48,0,Potential Churn
13166,283,1,417.2,3,Low Value Customers
13167,19,4,779.33,2,VIP Customers
13168,36,4,1299.59,0,Potential Churn
13169,64,2,712.88,0,Potential Churn
13170,27,1,108.81,1,New Customers
13171,22,3,468.41,1,New Customers
13173,4,2,353.65,1,New Customers
13174,16,3,2738.82,2,VIP Customers
13176,46,1,481.49,1,New Customers
13177,65,1,282.45,3,Low Value Customers
13178,26,11,5725.47,2,VIP Customers
13182,45,1,121.18,3,Low Value Customers
13183,8,9,3957.78,2,VIP Customers
13184,15,10,1667.95,2,VIP Customers
13185,268,1,71.4,3,Low Value Customers
13186,40,3,1575.89,0,Potential Churn
13187,337,1,236.02,3,Low Value Customers
13188,11,1,114.60000000000001,1,New Customers
13189,19,2,260.68,1,New Customers
13192,95,2,911.94,0,Potential Churn
13193,61,1,112.08,3,Low Value Customers
13194,136,1,60.7,3,Low Value Customers
13196,11,4,1797.78,2,VIP Customers
13198,10,6,3401.2400000000002,2,VIP Customers
13200,19,4,870.09,2,VIP Customers
13203,10,4,869.46,2,VIP Customers
13207,15,2,250.26000000000002,1,New Customers
13208,59,5,1193.17,0,Potential Churn
13210,94,1,353.48,3,Low Value Customers
13211,10,3,1095.42,2,VIP Customers
13212,20,3,786.83,0,Potential Churn
13213,57,5,1520.58,0,Potential Churn
13216,268,1,333.74,3,Low Value Customers
13217,122,3,533.98,0,Potential Churn
13218,127,1,62.63999999999999,3,Low Value Customers
13220,78,4,819.2900000000001,0,Potential Churn
13221,240,2,844.86,0,Potential Churn
13223,200,2,163.20000000000002,3,Low Value Customers
13224,60,2,2152.95,0,Potential Churn
13226,273,1,108.21000000000001,3,Low Value Customers
13227,202,1,257.7,3,Low Value Customers
13228,81,1,358.0,3,Low Value Customers
13229,226,1,160.95,3,Low Value Customers
13232,13,7,1327.75,2,VIP Customers
13233,74,2,605.12,0,Potential Churn
13235,212,1,1031.07,0,Potential Churn
13236,25,2,744.85,1,New Customers
13238,17,4,700.73,2,VIP Customers
13239,262,1,329.56,3,Low Value Customers
13240,96,4,648.7,0,Potential Churn
13242,112,3,270.40000000000003,3,Low Value Customers
13243,203,1,585.12,3,Low Value Customers
13244,93,1,121.74000000000001,3,Low Value Customers
13245,51,1,430.5,1,New Customers
13246,18,6,1961.52,2,VIP Customers
13247,18,4,501.12,1,New Customers
13248,125,2,465.68,0,Potential Churn
13249,92,3,711.41,0,Potential Churn
13253,157,2,1030.4,0,Potential Churn
13255,9,2,399.51,1,New Customers
13258,12,3,672.83,1,New Customers
13259,62,1,283.18,3,Low Value Customers
13260,61,1,557.62,1,New Customers
13261,269,2,944.1,0,Potential Churn
13262,263,1,200.29,3,Low Value Customers
13265,53,5,2092.66,2,VIP Customers
13266,11,12,3834.2599999999998,2,VIP Customers
13268,18,10,3152.71,2,VIP Customers
13270,366,1,590.0,3,Low Value Customers
13271,37,1,211.49,1,New Customers
13272,31,2,276.56,1,New Customers
13273,113,1,138.98,3,Low Value Customers
13276,64,2,590.9300000000001,0,Potential Churn
13277,16,4,258.4,1,New Customers
13278,41,1,542.73,1,New Customers
13279,78,1,137.75,3,Low Value Customers
13280,122,3,798.46,0,Potential Churn
13282,18,3,1132.14,0,Potential Churn
13283,60,2,93.66,3,Low Value Customers
13284,331,1,201.19,3,Low Value Customers
13285,23,4,2709.12,2,VIP Customers
13291,156,1,361.11,3,Low Value Customers
13292,39,2,578.9399999999999,1,New Customers
13294,190,2,873.74,0,Potential Churn
13295,360,1,201.20000000000002,3,Low Value Customers
13296,137,1,87.4,3,Low Value Customers
13297,8,4,2089.85,2,VIP Customers
13298,1,1,360.0,1,New Customers
13299,268,1,142.5,3,Low Value Customers
13300,169,1,371.89,3,Low Value Customers
13301,104,4,600.19,0,Potential Churn
13302,155,1,63.75,3,Low Value Customers
13304,351,1,300.42,3,Low Value Customers
13305,4,10,2000.86,2,VIP Customers
13307,120,1,15.0,3,Low Value Customers
13308,23,3,1385.51,0,Potential Churn
13309,7,5,1456.79,2,VIP Customers
13310,28,3,1132.03,0,Potential Churn
13311,4,2,598.57,1,New Customers
13313,22,5,1555.32,2,VIP Customers
13314,2,3,775.94,1,New Customers
13316,37,4,5732.93,2,VIP Customers
13317,66,6,2273.68,2,VIP Customers
13318,1,3,640.76,1,New Customers
13320,78,4,1532.2,0,Potential Churn
13321,72,2,567.36,0,Potential Churn
13322,17,1,199.48000000000002,1,New Customers
13323,3,5,787.85,2,VIP Customers
13325,82,1,675.3,3,Low Value Customers
13327,39,8,3627.77,2,VIP Customers
13328,316,1,1308.48,0,Potential Churn
13329,32,2,789.0,0,Potential Churn
